"title","artist","album","source_count","sources"
"Digsy's Dinner - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Don't Go Away","Oasis","Be Here Now","1","Liked Songs"
"Fade Away","Oasis","Help","1","Liked Songs"
"Fade Away - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Falling Down","Oasis","Dig Out Your Soul","1","Liked Songs"
"Fuckin' in the Bushes","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Gas Panic!","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Go Let It Out","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Half The World Away","Oasis","The Masterplan","1","Liked Songs"
"Half the World Away - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Headshrinker - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Hey Now - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"I Am the Walrus - Remastered Live Glasgow Cathouse June '94","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"I'm Outta Time","Oasis","Dig Out Your Soul","1","Liked Songs"
"It's Better People - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Let There Be Love","Oasis","Don't Believe The Truth","1","Liked Songs"
"Lyla","Oasis","Don't Believe The Truth","1","Liked Songs"
"Magic Pie - Remastered","Oasis","Be Here Now (Remastered)","1","Liked Songs"
"Married With Children","Oasis","Definitely Maybe","1","Liked Songs"
"Married with Children - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Morning Glory","Oasis","(What's The Story) Morning Glory?","1","na klar"
"Morning Glory - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"My Big Mouth","Oasis","Be Here Now","1","Liked Songs"
"Rockin' Chair","Oasis","The Masterplan","1","Liked Songs"
"Roll with It - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Sad Song - Mauldeth Road West Demo, Nov' 92","Oasis","Definitely Maybe (30th Anniversary)","1","марян × talia"
"Shakermaker","Oasis","Shakermaker","1","Liked Songs"
"She's Electric - Demo","Oasis","(What's the Story) Morning Glory? [Remastered Deluxe Edition]","1","Liked Songs"
"She's Electric - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Some Might Say - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Some Might Say (Live at Knebworth, 11 August '96)","Oasis","Knebworth 1996 (Live)","1","Liked Songs"
"Songbird","Oasis","Heathen Chemistry","1","Liked Songs"
"Stand by Me - Remastered","Oasis","Be Here Now (Remastered)","1","Liked Songs"
"Stay Young - Remastered","Oasis","Be Here Now (Remastered)","1","марян × talia"
"Strange Thing - Demo","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
"Sunday Morning Call","Oasis","Standing On The Shoulder Of Giants","1","Liked Songs"
"Supersonic","Oasis","Definitely Maybe","1","Liked Songs"
"Take Me Away - Remastered","Oasis","Definitely Maybe (Remastered) [Deluxe Edition Remastered]","1","Liked Songs"
"Talk Tonight","Oasis","The Masterplan","1","Liked Songs"
"The Hindu Times","Oasis","Heathen Chemistry","1","Liked Songs"
"The Importance of Being Idle","Oasis","Don't Believe The Truth","1","Liked Songs"
"The Masterplan - Live At Knebworth Park","Oasis","(What's The Story) Morning Glory? [Deluxe Edition Remastered]","1","Liked Songs"
"The Swamp Song - Version 1 - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1","Liked Songs"
"Up in the Sky - Remastered","Oasis","Definitely Maybe (Remastered)","1","Liked Songs"
