"title","artist","album","source_count","sources"
"Up From The Ashes","Kanye West","Donda (Deluxe)","3","Liked Songs; Kanye ye; K¥_00"
"Water","Kanye West, Ant Clemons","JESUS IS KING","3","Liked Songs; Kanye ye; K¥_00"
"Hands On","Kanye West, Fred Hammond","JESUS IS KING","3","Liked Songs; Kanye ye; K¥_00"
"Amazing","Kanye West, Jeezy","808s & Heartbreak","3","Liked Songs; Kanye ye; K¥_00"
"Blame Game","Kanye West, John Legend","My Beautiful Dark Twisted Fantasy","3","Kanye ye; K¥_00; Tunes"
"Welcome To Heartbreak","Kanye West, Kid Cudi","808s & Heartbreak","3","Liked Songs; Kanye ye; K¥_00"
"Gorgeous","Kanye West, Kid Cudi, Raekwon","My Beautiful Dark Twisted Fantasy","3","Liked Songs; Kanye ye; K¥_00"
"All Day","Kanye West, Theophilus London, Allan Kingdom, Paul McCartney","All Day","3","Liked Songs; Gym; Tunes"
"BACK TO ME","Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"BURN","Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"PAID","Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"PAPERWORK","Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"STARS","Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"TALKING","Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"True Love","Kanye West, XXXTENTACION","True Love","3","Liked Songs; Kanye ye; K¥_00"
"untitled 05 | 09.21.2014.","Kendrick Lamar","untitled unmastered.","3","Liked Songs; %^*+; IVE BEEN MISSING OUT"
"Soundtrack 2 My Life","Kid Cudi","Man On The Moon: The End Of Day","3","Liked Songs; Tunes"
"Up Up & Away","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","3","Liked Songs; Fl; Tunes"
"Pursuit Of Happiness (Nightmare)","Kid Cudi, MGMT, Ratatat","Man On The Moon: The End Of Day (Int'l Version)","3","Liked Songs; Tunes"
"Eagle Eye","Lexer, Fran","Against the Current","3","Liked Songs; GoDayumn; Holy house"
"Yes Indeed","Lil Baby, Drake","Harder Than Ever","3","Gym; Tunes"
"All Caps","Madvillain, Madlib, MF DOOM","Madvillainy","3","Liked Songs; марян × talia; Joo"
"Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff)","Metro Boomin, A$AP Rocky, Takeoff","HEROES & VILLAINS","3","Liked Songs; Gym; Tunes"
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Metro Boomin, Future, Chris Brown","HEROES & VILLAINS","3","Liked Songs; Gym"
"Hoe Cakes","MF DOOM","MM..FOOD","3","Liked Songs; %^*+; Joo"
