"title","artist","album","source_count","sources"
"Petty Too (feat. Future)","Lil Durk, Future","7220","1","Gym"
"Tic Tac Toe (with Ken Carson)","Lil Tecca, Ken Carson","DOPAMINE","1","Liked Songs"
"20 Min","Lil Uzi Vert","Luv Is Rage 2 (Deluxe)","1","Tunes"
"7AM","Lil Uzi Vert","Luv Is Rage","1","Tunes"
"Do What I Want","Lil Uzi Vert","The Perfect LUV Tape","1","Tunes"
"FOR FUN","Lil Uzi Vert","RED & WHITE","1","Liked Songs"
"Just Wanna Rock","Lil Uzi Vert","Just Wanna Rock","1","Tunes"
"Paradise","Lil Uzi Vert","Luv Is Rage","1","Tunes"
"Cashin","Lord Simmy, Playboi Carti","Nightmare On 4700 2","1","Liked Songs"
"Playboi Carti Molly Freestyle","Montana YG","Playboi Carti Molly Freestyle","1","Liked Songs"
"Wanted You (feat. Lil Uzi Vert)","NAV, Lil Uzi Vert","RECKLESS","1","Tunes"
"UNLIMITED (FT PLAYBOI CARTI)","NAV, Playboi Carti","OMW2 REXDALE","1","Liked Songs"
"Oldie","Odd Future","The OF Tape Vol. 2","1","Tralalelo Tralala"
"Snow White (feat. Hodgy & Frank Ocean)","Odd Future, Hodgy, Frank Ocean","The OF Tape Vol. 2","1","Tralalelo Tralala"
"Analog 2 (feat. Tyler, The Creator, Frank Ocean & Sydney Bennett)","Odd Future, Tyler, The Creator, Frank Ocean, Syd","The OF Tape Vol. 2","1","Tralalelo Tralala"
"Made Sum Plans","OsamaSon","Jump Out","1","Liked Songs"
"@ MEH","Playboi Carti","@ MEH","1","Liked Songs"
"2024","Playboi Carti","MUSIC - SORRY 4 DA WAIT","1","Liked Songs"
"Broke Boi","Playboi Carti","Broke Boi","1","Liked Songs"
"DIFFERENT DAY","Playboi Carti","MUSIC - SORRY 4 DA WAIT","1","Liked Songs"
"FINE SHIT","Playboi Carti","MUSIC","1","Liked Songs"
"FlatBed Freestyle","Playboi Carti","Die Lit","1","Liked Songs"
"Foreign","Playboi Carti","Die Lit","1","Liked Songs"
"Had 2","Playboi Carti","Playboi Carti","1","Liked Songs"
"Half & Half","Playboi Carti","Playboi Carti","1","Liked Songs"
"Home (KOD)","Playboi Carti","Die Lit","1","Liked Songs"
"Kelly K","Playboi Carti","Playboi Carti","1","Liked Songs"
"Lame Niggaz","Playboi Carti","Playboi Carti","1","Liked Songs"
"Let It Go","Playboi Carti","Playboi Carti","1","Liked Songs"
"Long Time - Intro","Playboi Carti","Die Lit","1","Liked Songs"
"Magnolia","Playboi Carti","Playboi Carti","1","Liked Songs"
"NO. 9","Playboi Carti","Playboi Carti","1","Liked Songs"
"Old Money","Playboi Carti","Die Lit","1","Liked Songs"
"OLYMPIAN","Playboi Carti","MUSIC","1","Liked Songs"
"Other Shit","Playboi Carti","Playboi Carti","1","Liked Songs"
"OVERLY","Playboi Carti","MUSIC","1","Liked Songs"
"SOUTH ATLANTA BABY","Playboi Carti","MUSIC","1","Liked Songs"
"Yah Mean","Playboi Carti","Playboi Carti","1","Liked Songs"
"New Choppa","Playboi Carti, A$AP Rocky","Playboi Carti","1","Liked Songs"
"TRIM (with Future)","Playboi Carti, Future","MUSIC","1","Liked Songs"
"No Time (feat. Gunna)","Playboi Carti, Gunna","Die Lit","1","Liked Songs"
"GOOD CREDIT (with Kendrick Lamar)","Playboi Carti, Kendrick Lamar","MUSIC","1","Liked Songs"
"BACKD00R (feat. Kendrick Lamar & Jhené Aiko)","Playboi Carti, Kendrick Lamar, Jhené Aiko","MUSIC","1","Liked Songs"
"Lookin","Playboi Carti, Lil Uzi Vert","Playboi Carti","1","Liked Songs"
"TWIN TRIM (with Lil Uzi Vert)","Playboi Carti, Lil Uzi Vert","MUSIC","1","Liked Songs"
"wokeuplikethis*","Playboi Carti, Lil Uzi Vert","Playboi Carti","1","Liked Songs"
"Poke It Out (with Nicki Minaj)","Playboi Carti, Nicki Minaj","Die Lit","1","Liked Songs"
"Right Now (feat. Pi'erre Bourne)","Playboi Carti, Pi’erre Bourne","Die Lit","1","Liked Songs"
"Middle Of The Summer (feat. Red Coldhearted)","Playboi Carti, Red Coldhearted","Die Lit","1","Liked Songs"
"Lean 4 Real (feat. Skepta)","Playboi Carti, Skepta","Die Lit","1","Liked Songs"
"RATHER LIE (with The Weeknd)","Playboi Carti, The Weeknd","MUSIC","1","Liked Songs"
"BACKR00MS (with Travis Scott)","Playboi Carti, Travis Scott","MUSIC - SORRY 4 DA WAIT","1","Liked Songs"
"Love Hurts (feat. Travis Scott)","Playboi Carti, Travis Scott","Die Lit","1","Liked Songs"
"Choppa Won't Miss (feat. Young Thug)","Playboi Carti, Young Thug","Die Lit","1","Liked Songs"
"AMIRI TRENDSETTER","Rich Amiri, OsamaSon","War Ready","1","Liked Songs"
"Party Girl (Remix)","StaySolidRocky, Lil Uzi Vert","Party Girl (Remix)","1","Tunes"
"Notion","The Rare Occasions","Futureproof","1","Liked Songs"
"Double Fantasy (with Future)","The Weeknd, Future","Double Fantasy","1","Liked Songs"
"Enjoy The Show (feat. Future)","The Weeknd, Future","Hurry Up Tomorrow","1","Liked Songs"
"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","Hurry Up Tomorrow","1","Liked Songs"
"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX","Travis Scott, Future, Young Thug, M.I.A.","FRANCHISE (feat. Future, Young Thug & M.I.A.) [REMIX]","1","Gym"
"1400 / 999 Freestyle","Trippie Redd, Juice WRLD","A Love Letter To You 3","1","Gym"
"Matt Hardy 999 (feat. Juice WRLD)","Trippie Redd, Juice WRLD","Trip At Knight (Complete Edition)","1","Gym"
"JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","Tyler, The Creator, Lil Uzi Vert, Pharrell Williams","CALL ME IF YOU GET LOST","1","Liked Songs"
"Gët Busy","Yeat","Up 2 Më","1","Gym"
"Monëy so big","Yeat","Up 2 Më","1","Liked Songs"
"Mysëlf","Yeat","AftërLyfe","1","Liked Songs"
"Nun id change","Yeat","AftërLyfe","1","Liked Songs"
"Off Tha Lot","Yeat","4L","1","Liked Songs"
"Out thë way","Yeat","Lyfë","1","Liked Songs"
"Sorry Bout That","Yeat","4L","1","Gym"
"The Bell","Yeat","The Bell","1","Liked Songs"
"Turban","Yeat","Up 2 Më","1","Gym"
"U could tëll","Yeat","Up 2 Më","1","Gym"
